Product name,Price (€),Product category,Use category
Agrimony - Xian he cao,6.9,TMC Herbs,Female balance
Almond mushroom - Ji song rong,12.8,Mushroom,Others
American Ginseng root - Xi yang shen,22.3,TMC Herbs,Fatigue and Energy
An shen bu xin wan,28.9,Others,Calm and well-being
An shen ding zhi wan,29.9,Others,Calm and well-being
Angelica Leaves Cut Bio,9.9,Bio; Bulk plantes,Others
Angelica Roots Cut Bio,8.9,Bio,Others
Anti-Fatigue Formula – An ancestral trio to nourish energy at its root,35.9,Food supplements,Fatigue and Energy
Apple blossoms - Ping guo hua,7.3,Flower infusions; TMC Herbs,Beauty and slimming; Urinary comfort
Artemisia anomala - Liu ji nu,9.3,TMC Herbs,Female balance; Urinary comfort
Artichoke leaves cut Bio,7.9,Bio; Bulk plantes,Digestion
Ash - Frêne,9.4,Bulk plantes,Articulations and muscles
Asian corydalis - Yan hu suo,9.9,TMC Herbs,Others
Asiatic Pennywort Herb - Ji gu cao,7.3,TMC Herbs,Digestion
Atractylode rhizoma prepared - Bai zhu (Chao),9.9,TMC Herbs,Digestion
Atracylode rhizome - Bai zhu (Sheng),9.7,TMC Herbs,Digestion
Bai Zhu Sheng,43.7,Plant powder,Others
Bai shao yao,45.4,Plant powder,Others
Ban lan gen,16.2,Plant powder,Others
Barbate - Ban zhi lian,4.9,TMC Herbs,Detox and drainer
Barley Grass Powder – SuperGreen Detox & Alkalizing,9.5,Others,Detox and drainer
Bearberry - Busserole,9.9,Bulk plantes,Others
Beauty Herbal Tea - San bai tang,10.9,Homemade blends,Beauty and slimming
Bi xie qu shi tang,28.9,Others,Beauty and slimming; Detox and drainer
Big Burdock - Niu bang gen,9.9,TMC Herbs,Beauty and slimming
Bitter Orange - Zhi shi (fu chao),10.9,TMC Herbs,Digestion
Bitter Orange flower petal - Pétales d'Oranger,9.7,Bulk plantes,Others
Bitter Orange zest - Zeste d'Orange Amère,6.5,Bulk plantes,Others
Bitter ginseng - Ku shen,10.7,TMC Herbs,Beauty and slimming
Bitter ginseng - Ku shen,37.9,TMC Herbs,Beauty and slimming
Bitter nail tea - Ku ding cha,5.3,TMC Herbs,Cardiovascular health
Bitter orange - Feuilles d'Oranger,9.4,Bulk plantes,Respiratory comfort
Black Horehound - Marrube Noir,9.6,Bulk plantes,Others
Black Radish Roots Cut Bio,8.9,Bio; Bulk plantes,Others
Black pepper - Hu jiao (hei),9.7,TMC Herbs,Digestion
Black sesame - Hei zhi ma,9.9,TMC Herbs,Digestion; Fatigue and Energy
Bloating herbal tea - Zhang qi tang,34.8,Homemade blends,Others
Bo he,15.3,Plant powder,Others
Boldo,9.9,Bulk plantes,Others
Bone Health Formula - Jian gu qu shi wan,38.9,Food supplements,Articulations and muscles
Broad leaf plantain - Che qian zi,9.9,TMC Herbs,Urinary comfort
Bu nao an shen wan,29.9,Others,Calm and well-being
Bu nao wan,31.9,Others,Calm and well-being
Burdock Seeds - Niu bang zi,9.8,TMC Herbs,Respiratory comfort
Butcher's broom - Petit-Houx,9.3,Bulk plantes,Others
Button mushroom - Mo gu,8.9,Mushroom,Fatigue and Energy
California poppy - Pavot de Californie,9.3,Bulk plantes,Others
Caltrop - Ci ji li,10.8,TMC Herbs,Sexual vitality
Camellia - Shan cha hua,9.5,Flower infusions; TMC Herbs,Beauty and slimming
Cantor grass - Herbe aux Chantres,9.9,Bulk plantes,Others
Capillary wormwood - Yin chen hao,7.9,TMC Herbs,Digestion
Cardamom seeds - Bai dou kou,10.9,TMC Herbs,Others
Carnation - Kang xian hua,8.9,Flower infusions; TMC Herbs,Detox and drainer; Fatigue and Energy; Respiratory comfort
Cat's claw - Gou teng,10.9,TMC Herbs,Articulations and muscles; Cardiovascular health; Fatigue and Energy
Centipeda - E bu shi cao,7.5,TMC Herbs,Respiratory comfort
Cereal Digestion Herbal Tea - Fu zhi tang,9.9,Homemade blends,Digestion
Ceylon Cinnamon Powder Bio,7.9,Bio,Others
Chaga - Bai hua rong,13.6,Mushroom,Fatigue and Energy
Chai hu hu po tang,27.9,Others,Calm and well-being
Chamomile Matricaria,7.9,Bulk plantes,Others
Chanterelle - Ji you gu,9.8,Mushroom,Fatigue and Energy
Chao bai zhu,43.7,Plant powder,Others
Cherry stalks - Queues de Cerise,8.3,Bulk plantes,Urinary comfort
Chervil - Cerfeuil,8.9,Bulk plantes,Others
Chi shao yao,43.7,Plant powder,Others
Chia seed bio,9.9,Bio,Others
Chili Pepper - La jiao,8.9,TMC Herbs,Digestion
China Papyrus sedge - Xiao tong cao,9.9,TMC Herbs,Detox and drainer; Urinary comfort
China Root - Tu fu ling,10.8,TMC Herbs,Others
Chinese Violet - Zi hua di ding,7.9,TMC Herbs,Beauty and slimming; Detox and drainer
Chinese artemisia - Qing Hao,13.9,Plant powder,Others
Chinese blackcurrant - Jue ming zi,9.4,TMC Herbs,Fatigue and Energy
Chinese camomile - Ju hua (hang),11.9,Flower infusions; TMC Herbs,Fatigue and Energy
Chinese chamomile buds - Ju hua (tai),8.9,Flower infusions; TMC Herbs,Fatigue and Energy
Chinese globeflower - Jin lian hua,13.6,Flower infusions; TMC Herbs,Fatigue and Energy
Chinese knotweed - He shou wu,9.9,Others,Cardiovascular health
Chinese mugwort - Ai ye,9.4,TMC Herbs,Female balance
Chinese peony root - Mu dan pi,10.9,TMC Herbs,Female balance
Chinese pink herbs - Qu mai,7.9,TMC Herbs,Urinary comfort
Chinese plum drink - Suan mei tang,5.9,Homemade blends,Digestion
Chinese rose - Yue ji hua,11.9,Flower infusions; TMC Herbs,Others
Chinese trumpet vine - Ling xiao hua,9.7,Flower infusions; TMC Herbs,Others
Chives - Ciboulette,9.9,Bulk plantes,Others
Cholesterol Formula - Jiang zhi wan,36.9,Food supplements,Cardiovascular health
Chrysanthemum Flower (Gong) - Ju hua (gong),9.9,Flower infusions; TMC Herbs,Fatigue and Energy
Chuan xiong,16.3,Plant powder,Others
Ciliary Poppy - Xiang ru,9.9,TMC Herbs,Fatigue and Energy; Respiratory comfort
Cinnamon bark - Rou gui,10.9,TMC Herbs,Others
Cinnamon stem - Gui zhi,9.7,TMC Herbs,Female balance
Circulation Formula - Qi miao san,36.9,Food supplements,Circulation
Citron fruit - Xiang yuan,7.9,TMC Herbs,Others
Clematis Root - Wei ling xian,9.9,TMC Herbs,Articulations and muscles
Climbing ivy - Chang chun teng,9.4,Others,Respiratory comfort
Clove - Ding xiang,7.9,TMC Herbs,Digestion
Cocklebur fruits - Cang er zi,9.6,TMC Herbs,Respiratory comfort
Cockscomb - Ji guan hua,8.9,Flower infusions; TMC Herbs,Circulation
Coco-grass - Xiang fu,9.9,TMC Herbs,Female balance
Codonopsis - Dang shen,31.7,TMC Herbs,Fatigue and Energy
Cogongrass root - Bai mao gen,9.8,TMC Herbs,Detox and drainer
Cold Snap Herbal Tea,12.9,Homemade blends,Respiratory comfort
Comfrey,7.9,Bio; Bulk plantes,Others
Common Evening primrose - Yue jian cao,7.9,TMC Herbs,Female balance
Common Sage Leaves Cut Bio,7.9,Bio; Bulk plantes,Female balance
Common Saint Paul’s root - Xi xian cao,7.5,TMC Herbs,Others
Common Thyme Leaves Bio,7.9,Bio,Others
Common brunella - Xia ku cao,7.9,TMC Herbs,Respiratory comfort
Common reed - Lu gen,9.5,Others,Calm and well-being; Urinary comfort
Congee with Chinese Date and Lily - Qu shi mei yan zhou,9.5,Congees,Others
Congee with Goji and Tremella - Yang yan yin er zhou,10.9,Congees,Others
Congee with Lotus and Poria - Shui run yang bai zhou,8.5,Congees,Beauty and slimming
Congee with Sesames and Black beans - Wu hei yang fa zhou,89.0,Congees,Others
Cooked Germinated Barley - Mai ya (Chao),8.7,TMC Herbs,Digestion
Cooked Rhemannia Root - Shu di huang,10.9,TMC Herbs,Fatigue and Energy
Coreopsis tinctoria - Kun lun xue ju,13.9,Flower infusions,Cardiovascular health
Coriander leaves cut Bio,8.9,Bio; Bulk plantes,Others
Cranberry Seeds Cut Bio,5.9,Bio,Others
Crudités herbal tea - Nuan wei tang,9.9,Homemade blends,Digestion
Cuscuta seeds - Tu si zi,9.7,TMC Herbs,Sexual vitality
Cynomorium root - Suo yang,11.5,TMC Herbs,Sexual vitality
Dahurian angelica - Bai zhi,9.9,TMC Herbs,Respiratory comfort
"Daily Essentials Kit – Vitality, Clarity & Sleep",60.3,Others,Calm and well-being; Fatigue and Energy
Dan zhi xiao yao san,27.9,Others,Female balance
Dandelion - Pu gong ying,7.9,TMC Herbs,Detox and drainer; Urinary comfort
Desmodium grass - Guang jin qian cao,7.3,TMC Herbs,Digestion
Detox Formula - Qing zhuo tang,37.9,Food supplements,Detox and drainer
Dictyophora - Zhu sun,4.9,Mushroom,Fatigue and Energy
Difficult digestion herbal tea - Huo xiang zheng qi tang,10.9,Homemade blends,Digestion
Digestion Formula - Bao he xiao shi wan,37.9,Food supplements,Others
Digestive Herbal Tea - Jin qian xiao shi tang,9.9,Homemade blends,Digestion
Dill - Aneth,9.3,Bulk plantes,Others
Dried Balloon Flower Root - Jie geng,11.6,TMC Herbs,Respiratory comfort
Dried Mulberries - Sang shen zi,10.3,TMC Herbs,Fatigue and Energy
Dried astragalus roots - Huang qi (Sheng),11.9,TMC Herbs,Fatigue and Energy
Du huo,16.3,Plant powder,Others
Du huo ji sheng tang,29.9,Others,Articulations and muscles
Du zhong,42.2,Plant powder,Others
Dwarf lilyturf - Mai dong,9.9,Others,Respiratory comfort
Elder Berries Bio,7.9,Bio,Others
Elder Flowers Sifted Bio,8.9,Bio,Others
Eleutherococcus root bark - Wu jia pi,9.9,TMC Herbs,Articulations and muscles
Er xian tang,28.9,Others,Female balance
Eriocaulon buergerianum - Gu jing cao,7.3,TMC Herbs,Fatigue and Energy
Eucommia - Du zhong,9.9,TMC Herbs,Articulations and muscles
European white birch,9.7,Bulk plantes,Others
Evening primrose seeds - Yue jian cao zi,9.7,TMC Herbs,Female balance
Eye Herbal Tea - Ming mu cha,11.9,Homemade blends,Fatigue and Energy
FPPP,28.9,Others,MTV
Fennel seeds - Xiao hui xiang,9.6,TMC Herbs,Others
Fern - Gu sui bu,10.9,TMC Herbs,Articulations and muscles
Ficus roots - Wu zhi mao tao,12.6,TMC Herbs,Fatigue and Energy
Fish Mint - Yu xing cao,6.9,TMC Herbs,Respiratory comfort; Urinary comfort
Five Red Congee with Longan and Peanuts - Bu xue wu hong zhou,8.9,Congees,Others
Flax - Lin,9.9,Bulk plantes,Digestion
Fleurs de Chrysanthème doré - Jin si ju,13.3,Flower infusions; TMC Herbs,Fatigue and Energy; Respiratory comfort
Foot bath for circulation and joints - Shu jin huo luo zu yu bao,31.7,Foot baths,Articulations and muscles
Foot bath for cycle disorders - Wen gong nuan jing zu yu bao,11.9,Foot baths,Female balance
Foot bath for postpartum recovery - Chan hou hui fu zu yu bao,11.9,Foot baths,Female balance
Foot bath for sleep,31.7,Foot baths,Calm and well-being
Foot bath for the vitality of men - Nan shi wen shen zu yu bao,11.9,Foot baths,Male balance
Foot bath for tone and slimming - Bu qi shou shen,31.7,Foot baths,Others
Foot bath to warm the body - Nuan shen qu han zu yu bao,11.9,Foot baths,Others
Forget-me-not flowers - Wu wang wo,8.9,Flower infusions; TMC Herbs,Beauty and slimming; Calm and well-being
Formule Anti-fatigue - Un trio ancestral pour nourrir l’énergie à la racine,35.9,Food supplements,Others
Formule Calme & Détente - Stress et surmenage - An Shen Wan,39.9,Food supplements,Others
Formule Jambes lourdes - Solution naturelle et draineur intense,37.9,Food supplements,Others
Formule Minceur - Jian fei wan,37.9,Food supplements,Others
Formule Ménopause - Soulage les troubles physiques et émotionnels liés à la ménopause et la péri-ménopause,37.9,Food supplements,Others
Formule Prostate - Si miao qian lie wan,36.9,Food supplements,Male balance
Formule Yang Eau,28.9,Others,MTV
Fragrant Olive - Gui Hua,16.9,Flower infusions; TMC Herbs,Respiratory comfort
Fruits du Arhat - Luo han guo,9.9,TMC Herbs,Respiratory comfort
Fu ke zhong zi wan,27.9,Others,Female balance
Fu ling,16.0,Plant powder,Others
Galangal - Gao liang jiang,9.6,TMC Herbs,Digestion
Gan mai da zao tang,27.9,Others,Calm and well-being
Ganoderma spores - Ling zhi bao zi fen,34.9,Others,Fatigue and Energy
Garlic bulb - Xie bai,10.9,TMC Herbs,Cardiovascular health
Gastric comfort Formula - Chai hu qu suan wan,36.9,Food supplements,Others
Ge gen,41.3,Plant powder,Others
Germinated Malt seeds - Mai ya (Sheng),8.7,TMC Herbs,Female balance
Ginger - Gan jiang,10.9,TMC Herbs,Digestion
Ginkgo leaves - Yin xing ye,7.9,TMC Herbs,Calm and well-being
Ginseng Flowers - Ren shen hua,8.8,TMC Herbs,Fatigue and Energy
Ginseng Leaves - Ren shen ye,8.8,TMC Herbs,Calm and well-being; Fatigue and Energy
Ginseng Root - Ren shen,19.8,TMC Herbs,Fatigue and Energy; Sexual vitality
Glehnia littoralis - Bei Sha Shen,12.9,Others,Respiratory comfort
Globe amaranth - Hong qiao mei,8.9,Flower infusions; TMC Herbs,Fatigue and Energy
Globe amaranth - Qian ri hong,8.9,Flower infusions; TMC Herbs,Others
Glutinous rice root - Nuo dao gen,6.9,TMC Herbs,Female balance
Goji Berry Extract,26.9,Others,Fatigue and Energy; Sexual vitality
Goji berry root - Di gu pi,10.9,TMC Herbs,Female balance
Golden Everlasting - Qi cai ju,8.9,Flower infusions; TMC Herbs,Beauty and slimming; Detox and drainer
Golden oyster mushroom - Huang jin gu,8.9,Mushroom,Fatigue and Energy
Golden-bell fruits - Lian qiao,11.6,TMC Herbs,Detox and drainer; Respiratory comfort
Great burnet roots - Di yu,9.9,TMC Herbs,Circulation
Great mullein - Bouillon Blanc,9.9,Bulk plantes,Others
Great yellow gentian - Long dan cao,9.8,TMC Herbs,Digestion
Greater Plantain - Che qian cao,7.9,TMC Herbs,Urinary comfort
Green Cardamom - Lü dou kou,12.3,TMC Herbs,Others
Green tea - Lü cha,9.7,TMC Herbs; Tea,Others
Gruel with trio of mushrooms,7.9,Congees,Others
Gua lou ren,15.2,Plant powder,Others
Guarana Extract – Slimming & Energy,15.9,Others,Beauty and slimming; Fatigue and Energy
Guava - Goyave,4.9,Bulk plantes,Others
Gui zhi,15.2,Plant powder,Others
Hai fu shi,15.2,Plant powder,Others
Hai piao xiao,15.7,Plant powder,Others
Hair Beauty Herbal Tea - Wu hei tang,10.7,Homemade blends,Beauty and slimming
Hair Nutrition Formula - Shou wu mei fa wan,36.9,Food supplements,Beauty and slimming
Harpagophytum,9.9,Bulk plantes,Articulations and muscles
Hawthorn Fruit - Shan zha,11.8,TMC Herbs,Cardiovascular health
He shou wu,26.9,Others,Beauty and slimming; Cardiovascular health
Heavy Meals Formula - Jin qian xiao shi wan,36.9,Food supplements,Digestion
Heavy legs Formula,37.9,Food supplements,Circulation
Hedyotis diffusa - Bai hua she she cao,4.9,TMC Herbs,Detox and drainer; Urinary comfort
Herba eupatorii - Pei lan,6.9,TMC Herbs,Fatigue and Energy
Herbal tea for intimate cleansing - Xun xi fang,14.9,Homemade blends,Female balance
Herbal tea to warm the body - Qu han nuan shen cha,26.7,Homemade blends,Calm and well-being; Fatigue and Energy; Female balance; Respiratory comfort
Hibiscus flowers cut Bio,7.9,Bio; Bulk plantes,Others
Hijiki - Hai zao,7.9,TMC Herbs,Others
Hong hua,16.6,Plant powder,Others
Hop cones - Cônes de Houblon,6.9,Bulk plantes,Others
Horse chestnut - Marron d'Inde,9.9,Bulk plantes,Circulation
Horsetail Cut Bio,9.9,Bio,Others
Hot Flushes Formula - Si xian tang,37.9,Food supplements,Female balance
Hou po,16.2,Plant powder,Others
Huang qi,16.4,Plant powder,Others
Huo xiang zheng qi wan,28.9,Others,Digestion
Hydrocotyle,9.9,Bulk plantes,Others
Immune defense herbal tea - Yu ping feng tang,11.9,Homemade blends,Fatigue and Energy
Indigo Root - Ban lan gen,10.9,TMC Herbs,Fatigue and Energy
Indigo leaves - Da qing ye,9.8,TMC Herbs,Detox and drainer; Respiratory comfort
Intellectual Toning Formula - Jia wei zhi pu san,37.9,Food supplements,Calm and well-being
Ispaghul - Ispaghul,9.9,Bulk plantes,Others
Japan honeysuckle - Jin yin hua,9.9,Flower infusions; TMC Herbs,Detox and drainer; Fatigue and Energy
Japanese Catnip - Jing jie sui,7.9,TMC Herbs,Fatigue and Energy; Respiratory comfort
Japanese Honeysuckle Vine - Ren dong teng,9.8,TMC Herbs,Articulations and muscles
Japanese Knotweed - Hu zhang,8.9,TMC Herbs,Detox and drainer
Japanese Thistle Cirsium - Da ji,18.9,TMC Herbs,Urinary comfort
Jasmine Flowers Bio,39.9,Bio,Others
Jasmine Flowers – The gentle sweetness that soothes everyday life - Mo li hua,8.6,Flower infusions; TMC Herbs,Detox and drainer
Jia wei xiao yao san,27.9,Others,Calm and well-being; Female balance
Jiao san xian,17.1,Plant powder,Others
Jie geng,16.4,Plant powder,Others
Jin gui shen qi wan,27.9,Others,Sexual vitality
Jing jie di long tang,18.3,Others,Respiratory comfort
Job's Tears - Yi yi ren,9.9,TMC Herbs,Detox and drainer
Joint comfort formula - Bai shao zhi tong san,37.9,Food supplements,Others
Joint comfort herbal tea - Bai shao zhi tong tang,11.9,Homemade blends,Others
Judas' ear - Mu er (hei),10.9,Mushroom; TMC Herbs,Others
Jujube fruit - Da zao,10.9,TMC Herbs,Fatigue and Energy; Female balance
Kadsura Pepper stem - Hai feng teng,9.6,TMC Herbs,Articulations and muscles
Kale Powder – Antioxidant & Nourishing SuperGreen,12.5,Others,Calm and well-being; Fatigue and Energy
Kelp - Kun bu,7.9,TMC Herbs,Beauty and slimming
King oyster mushroom - Xing bao gu,8.3,Mushroom,Fatigue and Energy
Knotgrass - Bian xu,6.9,TMC Herbs,Detox and drainer; Urinary comfort
Knotweed creeper - Ye jiao teng,9.5,TMC Herbs,Calm and well-being
Kudzu roots - Ge gen,9.9,TMC Herbs,Detox and drainer; Respiratory comfort
Laurel - Laurier,4.9,Bulk plantes,Others
